OBJECTID,NAME,OWNER,NOTES,CITY,FEATTYPE,STATUS,SOURCE,SOURCE_YEAR,ShapeSTArea,ShapeSTLength
1,Bob Jones Park,,,Southlake,Local Park,Existing,City of Southlake,2017,11526485.1357422,29608.8294199657
2,Lonesome Dove Park,,,Southlake,Local Park,Existing,City of Southlake,2017,342889.448242188,2740.81727640831
3,Liberty Park at Sheltonwood,,,Southlake,Local Park,Existing,City of Southlake,2017,766854.458984375,4852.91210158583
4,Bicentennial Park,,,Southlake,Local Park,Existing,City of Southlake,2017,3494158.25292969,9201.49672776965
5,Royal & Annie Smith Park,,,Southlake,Local Park,Existing,City of Southlake,2017,571054.448242188,3494.50865289363
6,Chesapeake Park,,,Southlake,Local Park,Existing,City of Southlake,2017,478714.948242188,3797.83150758395
7,Noble Oaks Park,,,Southlake,Local Park,Existing,City of Southlake,2017,191981.984375,1799.40328742497
8,Koalaty Park,,,Southlake,Local Park,Existing,City of Southlake,2017,248220.926757812,2184.60204589222
9,Oak Pointe Park,,,Southlake,Local Park,Existing,City of Southlake,2017,355614.315429688,5710.12756090586
10,Family Park,,,Southlake,Local Park,Existing,City of Southlake,2017,35247.2900390625,752.436000795776
11,Rustin Park,,,Southlake,Local Park,Existing,City of Southlake,2017,40968.646484375,809.288377281108
12,Twin Star Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,181896.03125,1759.91242135484
13,Columbia Park,,F,Rowlett,Local Park,Proposed,City of Rowlett,2019,84838.76171875,1200.66110159995
14,Paddle Point/N Lakeside,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,735614.78125,8033.0133970731
15,Kenwood Heights,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,149958.982421875,3385.49485136313
16,Veterans Memorial Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,27516.380859375,877.145830551389
17,Muddy Creek Park,,F,Rowlett,Local Park,Proposed,City of Rowlett,2019,11587543.3789062,22210.5656083632
18,Mayors Park,,F,Rowlett,Local Park,Proposed,City of Rowlett,2019,252525.390625,2332.65956834021
19,Environmental Learning Center,,F,Rowlett,Local Park,Proposed,City of Rowlett,2019,190907.64453125,1862.6736726889
20,Lakeview Meadow Estates Park,,Open Space,Rowlett,Local Park,Existing,City of Rowlett,2017,48301.05078125,886.374732857052
21,Herfurth Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,1059641.0625,5382.61082380905
22,Lake Highlands-LRH Greenbelt,,Greenbelt,Rowlett,Local Park,Existing,City of Rowlett,2017,227426.404296875,3568.84104864914
23,Isaac Scruggs Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,235084.359375,4340.38421353663
24,Katy Railroad Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,703869.1640625,3673.75702664294
25,Shorewood Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,613037.197265625,3210.8464419589
26,Peninsula Greenbelt,,Greenbelt,Rowlett,Local Park,Existing,City of Rowlett,2017,499136.236328125,10827.1798178325
27,Rowlett Community Park,,E,Rowlett,Local Park,Existing,City of Rowlett,2019,5607263.60742188,10308.8863787247
28,Lakeside Park,,F,Rowlett,Local Park,Proposed,City of Rowlett,2019,383535.30078125,8762.41941041553
29,Henry M Chandler Park,City of Rockwall,Neighborhood Park,Rockwall,Local Park,Existing,City of Rockwall,2020,179811.23828125,1840.58601815648
30,Yellow Jacket Park,City of Rockwall,Sports Complex,Rockwall,Local Park,Existing,City of Rockwall,2020,321083.998046875,2723.18901370578
31,Jewel Park,City of Rockwall,Neighborhood Park,Rockwall,Local Park,Existing,City of Rockwall,2020,151692.470703125,2133.75025808678
32,Shores Park,City of Rockwall,Neighborhood Park,Rockwall,Local Park,Existing,City of Rockwall,2020,518241.73828125,3795.70827855293
33,Harry Myers Park,City of Rockwall,Community Park,Rockwall,Local Park,Existing,City of Rockwall,2020,2913592.5703125,7567.18429117483
34,Northshore Park,City of Rockwall,Park/School,Rockwall,Local Park,Existing,City of Rockwall,2020,432096.201171875,3478.84861551663
35,Lofland Park,City of Rockwall and RISD,Mini-Park,Rockwall,Local Park,Existing,City of Rockwall,2020,92024.44921875,1499.42972857502
36,The Lakes of Squabble Creek Park,City of Rockwall,Community Park,Rockwall,Local Park,Existing,City of Rockwall,2020,7304201.6328125,21297.6516725357
37,Clark Street Park,City of Rockwall,Mini-Park,Rockwall,Local Park,Existing,City of Rockwall,2020,57633.37109375,1179.39804269778
38,Spring Sports Complex,RISD,School Park,Rockwall,Local Park,Existing,City of Rockwall,2020,892841.021484375,5264.14168514922
39,Meadowcreek #1 - Madison,City of Rockwall,Greenbelts and Greenways,Rockwall,Local Park,Existing,City of Rockwall,2020,758553.384765625,5286.99139142372
40,Meadowcreek #2 - Foxwood,City of Rockwall,Greenbelts and Greenways,Rockwall,Local Park,Existing,City of Rockwall,2020,730951.5703125,6268.56883900317
41,Emerald Bay Park,City of Rockwall,Neighborhood Park,Rockwall,Local Park,Existing,City of Rockwall,2020,517930.93359375,5207.49323402554
42,The Park at Fox Chase,City of Rockwall,Neighborhood Park,Rockwall,Local Park,Existing,City of Rockwall,2020,425299.046875,2729.67112667605
43,Leon Tuttle Athletic Complex,City of Rockwall,Sports Complex,Rockwall,Local Park,Existing,City of Rockwall,2020,810363.5078125,3648.15499124668
44,Gloria Williams Park,City of Rockwall,Mini-Park,Rockwall,Local Park,Existing,City of Rockwall,2020,20712.908203125,606.722047775566
45,Arrowhead Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,263242.07421875,2156.28722111658
46,Blue Ridge Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,219375.205078125,1910.5664347633
47,Bob Woodruff Park,Plano Parks,City Wide Open Space Preserves,Plano,Local Park,Existing,City of Plano,2020,14193520.3769531,25277.6226705435
48,Buckhorn Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,350236.193359375,2470.20325632486
49,Caddo Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,335309.146484375,2530.18816907602
50,Capstone Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,328198.12109375,2449.1195892057
51,Carpenter Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,4506623.40039062,8656.74597295049
52,Cheyenne Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,1079413.19921875,4707.1072076667
53,Big Lake Park,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,609542.77734375,4911.41175745992
54,Clearview Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,301127.599609375,2212.30867006714
55,Coyote Creek Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,728146.604492188,5626.04051765448
56,Eldorado Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,297516.134765625,2186.98590474841
57,Enfield Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,2023851.703125,5753.04198341391
58,Frank Beverly Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,440191.74609375,2753.79018697153
59,Glen Meadows Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,126799.532226562,1898.69269609405
60,Hackberry Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,246034.189453125,2031.65164086213
61,Heritage Yards at Plano Athletic Fields,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,2671649.24414062,6757.56135468645
62,Haggard Park,Plano Parks,Special Use Facilities,Plano,Local Park,Existing,City of Plano,2020,246143.458984375,2424.62023317908
63,Douglas Community Center,Plano Parks,Special Use Facilities,Plano,Local Park,Existing,City of Plano,2020,107260.86328125,1489.12170545869
64,Hidden Meadow Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,293363.19140625,2132.5454085253
65,High Point Athletic Fields,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,2394530.67578125,6220.58892534605
66,High Point Tennis Center,Plano Parks,Special Use Facilities,Plano,Local Park,Existing,City of Plano,2020,291126.330078125,2201.7510878157
67,Hoblitzelle Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,6075808.91992188,30068.7940082974
68,Horseshoe Park,Plano Parks,Special Use Facilities,Plano,Local Park,Existing,City of Plano,2020,409460.275390625,2808.34210417695
69,Indian Creek Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,230208.46484375,1942.41421123272
70,Jack Carter Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,3077755.33203125,12845.2978167836
71,Liberty Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,734742.1484375,3516.65493222842
72,Lone Star Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,337532.298828125,2406.33384338636
73,Longhorn Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,334326.529296875,2501.09436428992
74,Lt Russell A Steindam Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,324734.794921875,2627.85826817349
75,Memorial Park,Plano Parks,Special Use Facilities,Plano,Local Park,Existing,City of Plano,2020,372235.763671875,3227.87135276113
76,Oak Point Center,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,1012832.796875,4166.67259196854
77,Old Shepard Place Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,756106.0859375,3538.40034722461
78,Overland Trail,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,309750.732421875,6516.19305150141
79,Parkwood Green Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,181161.279296875,1975.46707075318
80,Preston Meadow Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,1132218.99414062,5035.02563509906
81,Preston Ridge Trail,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,4643755.40820312,64177.5120167652
82,Russell Creek Greenbelt,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,1232944.42382812,11989.805187092
83,Russell Creek Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,7996143.10546875,16042.0306639939
84,Rustic Park,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,78707.00390625,2602.72843308803
85,Schell Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,1091243.40820312,4481.39676270066
86,Shawnee Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,1950127.51757812,10292.3176540836
87,Shoshoni Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,122743.03125,1575.18065771034
88,Steeplechase Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,805140.123046875,3831.9836313199
89,Stoney Hollow Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,1779962.47265625,6360.41613144959
90,Sunset Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,656007.7265625,3773.29340447338
91,Tejas Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,477331.42578125,2755.97555436677
92,Timber Brook Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,342574.37109375,2406.9316143306
93,WH “Buzz” Rasor Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,273369.18359375,2094.72857370601
94,Wagon Wheel Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,217465.599609375,2121.5159871042
95,Westwood Park,Plano Parks,Neighborhood Parks,Plano,Local Park,Existing,City of Plano,2020,168557.412109375,1823.81654945487
96,White Rock Trail Park,Plano Parks,Linear Parks,Plano,Local Park,Existing,City of Plano,2020,1689566.76660156,6708.34279602884
97,Willowcreek Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,1036383.91796875,9199.46604738791
98,Windhaven Park,Plano Parks,Community Park,Plano,Local Park,Existing,City of Plano,2020,1096806.82714844,4241.53098280965
99,Porter School Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,303694.837890625,2772.99920846428
100,Florence Ranch Homestead,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,172628.33984375,1647.09326347034
101,Beasley School Park,Mesquite ISD,,Mesquite,Local Park,Existing,City of Mesquite,2020,568564.859375,3657.03343266682
102,Motley School Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,189530.921875,1807.81263952167
103,McKenzie School Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,209028.857421875,1893.83332054894
104,Town East Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,1250208.62695312,6907.28092615782
105,Austin School Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,291142.455078125,2316.55741253021
106,Cannaday School Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,210154.49609375,2418.86999686285
107,Blackwood Park,City of Mesquite & MISD,,Mesquite,Local Park,Existing,City of Mesquite,2020,554968.126953125,3872.99496162971
108,Oakbrook Property,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2017,1097367.06054688,6852.88243423928
109,Debusk Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,1869714.54492188,6007.17477911709
110,Wildflower Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,248442.30859375,2563.92949745687
111,Evans Park,City of Mesquite,Evans Recreation Center,Mesquite,Local Park,Existing,City of Mesquite,2020,1109414.17382812,5162.13203003632
112,Winding Creek Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2017,721601.84375,5165.60321918986
113,Westlake Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,1838323.0859375,7590.99849236362
114,Shaw School Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,311726.244140625,3381.98818534419
115,Galloway School Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,267603.16015625,2237.06982032725
116,Mooreman Property,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,489155.423828125,4293.29238228054
117,Heritage Square Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,35075.333984375,751.007960705864
118,City Lake Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,661079.68359375,5086.52163773328
119,Paschall Park,City of Mesquite,,Mesquite,Local Park,Existing,ESRI Streets Base Map,2020,3359621.05859375,8678.33735257944
120,Florence Black School Park,Mesquite ISD,,Mesquite,Local Park,Existing,City of Mesquite,2017,873670.32421875,5834.09679203326
121,Herzog Property,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2017,1109862.39453125,5062.34345914664
122,Creek Crossing 6 Greenbelt,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,245627.345703125,2947.20913457076
123,Indian Trails Greenbelt,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,1354730.84765625,7344.87905624704
124,Travis Williams Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,1999574.04296875,6123.54917333406
125,Bruton Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,1513505.61914062,7711.89081231075
126,Mesquite Tree Farm,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2017,122916,1487.25699779928
127,Creek Crossing 5 Greenbelt,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2017,497099.07421875,4754.52308586528
128,Valley Creek Greenbelt,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2017,1515177.61328125,11840.6005354547
129,Mesquite Girls Softball Complex,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,682656.447265625,3251.63473817442
130,Rorie Galloway Day Camp,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,4861903.15039062,9134.72646829786
131,Clay Mathis Greenbelt Park,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,879906.517578125,7213.29138067459
132,East Glen Soccer Facility,City of Mesquite,,Mesquite,Local Park,Existing,City of Mesquite,2020,617077.49609375,3169.49970954886
133,Texas Amateur Baseball,TX Amateur Baseball Cong DBA Boys Baseball Inc,,Mesquite,Local Park,Existing,City of Mesquite,2017,1163035.29492188,4987.63254344963
134,Erwin Park,,Community Park,McKinney,Local Park,Existing,City of McKinney,2018,9137609.33398438,17180.6828198818
135,Murphy Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,42629.53515625,826.29577097128
136,Central Park,,Special Park,McKinney,Local Park,Existing,City of McKinney,2018,10046.37109375,424.296025798418
137,Mitchell Park,,Special Park,McKinney,Local Park,Existing,City of McKinney,2018,43577.201171875,828.500182390049
138,Al Ruschhaupt Soccer Complex,,Community Park,McKinney,Local Park,Existing,City of McKinney,2018,3942512.83984375,15124.3129197648
139,Finch Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,1214715.54296875,6274.20102465047
140,Fitzhugh Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,81970.416015625,1164.9518833065
141,Towne Lake Park,,Community Park,McKinney,Local Park,Existing,City of McKinney,2018,2949938.00976562,9374.09900067171
142,Wilson Creek Softball/Baseball Complex,,Community Park,McKinney,Local Park,Existing,City of McKinney,2018,2150839.88867188,8025.39034455421
143,Senior Recreation Center,,Community Park,McKinney,Local Park,Existing,City of McKinney,2018,937678.486328125,4496.07226766089
144,McKinney Community Center,,Community Park,McKinney,Local Park,Existing,City of McKinney,2018,551130.9921875,3634.1842856747
145,Wilson Creek Nature Trail,,Community Park,McKinney,Local Park,Existing,City of McKinney,2018,2043321.52539062,7347.32214574361
146,Cottonwood Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,161788.0703125,1750.06132348906
147,Valley Creek Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,262520.310546875,2631.35287639939
148,Winniford Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,304252.56640625,2611.511198145
149,North Park,,Community Park,McKinney,Local Park,Existing,City of McKinney,2018,477133.23046875,3048.99398273238
150,McKissick Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,307538.9453125,2433.22450569481
151,Aviator Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,442856.302734375,2787.28379403405
152,Falcon Creek Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,506105.76953125,3186.05019217859
153,McKinney Soccer Complex at Craig Ranch,,Community Park,McKinney,Local Park,Existing,City of McKinney,2018,2766105.20507812,7666.66885323162
154,Ash Woods Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,454662.435546875,2925.05581806834
155,Cottonwood Creek Channel,,Open Space,McKinney,Local Park,Existing,PADUSA,2020,914528.87109375,11395.6400969264
156,E A Randles Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,494517.623046875,3327.64981258834
157,Horizon Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,242350.501953125,2029.64625751819
158,WB Finney Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,588267.572265625,3569.68707809342
159,A Hardy Eubanks Jr Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,441375.123046875,2793.26022369975
160,Hill Top Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,356307.55078125,2902.32641665583
161,Serenity Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,725866.845703125,4608.13428733574
162,Gabe Nesbitt Community Park,,Community Park,McKinney,Local Park,Existing,PADUSA,2020,6778682.74609375,13515.8331362164
163,Tinker Taylor Memorial Park,,Special Park,McKinney,Local Park,Existing,City of McKinney,2018,60425.748046875,1293.05537920844
164,Mary Will Craig Park,,Neighborhood Park,McKinney,Local Park,Existing,City of McKinney,2018,447644.609375,2673.60992714325
165,McClendon Park West,,,Mansfield,Local Park,Existing,City of Mansfield,2020,221910.083007812,2318.93013069329
166,Clayton W Chandler Park,,,Mansfield,Local Park,Existing,City of Mansfield,2020,563882.612304688,3125.32022297905
167,Philip Thompson Soccer Complex,,,Mansfield,Local Park,Existing,City of Mansfield,2020,893531.90234375,3909.53212524447
168,James McKnight Park West,,Linear,Mansfield,Local Park,Existing,City of Mansfield,2020,1722687.43652344,8360.95303304032
169,Katherine Rose Memorial Park,,Linear,Mansfield,Local Park,Existing,City of Mansfield,2020,1095253.23242188,4737.37665701124
170,Hardy Allmon Soccer Field North,,Linear,Mansfield,Local Park,Existing,City of Mansfield,2020,183262.995117188,1726.09567983379
171,Julian Field Park,,,Mansfield,Local Park,Existing,City of Mansfield,2020,349605.360351562,2657.67830670098
172,Hardy Allmon Soccer Field South,,,Mansfield,Local Park,Existing,City of Mansfield,2020,249542.1328125,1981.34275849042
173,Geyer Field,,,Mansfield,Local Park,Existing,City of Mansfield,2017,93885.533203125,1227.27735766394
174,James McKnight Park East,,Linear,Mansfield,Local Park,Existing,City of Mansfield,2020,1281059.59277344,6157.14337252543
175,Michael L Skinner Sports Complex,,,Mansfield,Local Park,Existing,City of Mansfield,2020,3770662.27832031,8671.06964010906
176,Town Park,,Linear,Mansfield,Local Park,Existing,City of Mansfield,2020,1093940.6640625,7507.25736697366
177,Hawaiian Falls,,,Mansfield,Local Park,Existing,City of Mansfield,2017,746246.870117188,3884.52033847437
178,Big League Dreams Park,,,Mansfield,Local Park,Existing,City of Mansfield,2017,1906181.45703125,5741.77558604482
179,Highland Lakes Park,,,Lewisville,Local Park,Existing,City of Lewisville,2017,42047.8681640625,900.960680262699
180,Meadow Lake Park,,,Lewisville,Local Park,Existing,City of Lewisville,2017,58964.8974609375,950.729740134964
181,Highlands Park,YMCA,,Lewisville,Local Park,Existing,City of Lewisville,2017,276021.981445312,3129.16509937396
182,Daffodil Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,46143.77734375,1043.12479426417
183,Orchard Valley Park,City of Lewisville,Neighborhood,Lewisville,Local Park,Existing,City of Lewisville,2017,160198.512695312,1807.7408027298
184,Leonard L Woods Park,,,Lewisville,Local Park,Existing,City of Lewisville,2017,1235110.18847656,8259.27797500942
185,Valley Ridge Greenbelt Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,1646619.52734375,13015.6492363102
186,College Street Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,518966.569335938,2902.65522565265
187,Degan Elementary Park,,,Lewisville,Local Park,Existing,City of Lewisville,2017,31019.193359375,705.307567772055
188,Central Elementary Park,,,Lewisville,Local Park,Existing,City of Lewisville,2017,70568.83984375,1602.68695324108
189,Sycamore Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,170925.8125,2846.10522326637
190,Sun Valley Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,230882.659179688,2296.43190621732
191,Iris Lane Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,56269.6162109375,1269.86131315831
192,Austin Kent Ellis Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,196907.864257812,2127.70411654017
193,Fox Creek Greenbelt Park,,,Lewisville,Local Park,Existing,City of Lewisville,2017,794160.784179688,9858.48722468536
194,Memorial Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,1055305.41308594,4094.70854226009
195,Central Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,1813589.84082031,7821.1722944499
196,Oak Bend Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,253897.993164062,6581.90910665222
197,Vista Ridge Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,866187.65234375,4021.39125453129
198,Raldon-Lake Cities Park,,,Lewisville,Local Park,Existing,City of Lewisville,2017,591503.75390625,6880.10254393627
199,Willow Grove Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,55541.9130859375,981.857964722997
200,Old Orchard Greenbelt,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,633031.663085938,9347.69371432209
201,Sylvan Creek Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,58308.5,2863.70618837948
202,Valley Ridge Boulevard Greenbelt,,,Lewisville,Local Park,Existing,City of Lewisville,2017,60664.0068359375,5215.48800836306
203,Hidden Creek Greenbelt,,,Lewisville,Local Park,Existing,City of Lewisville,2017,129319.513671875,7926.43860505686
204,Prairie Creek Greenbelt,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,641490.130859375,5155.13633449448
205,Meadow Lake Linear Park,,,Lewisville,Local Park,Existing,City of Lewisville,2017,126530.801757812,4029.80838891857
206,Hedrick Estates Park,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,144987.991210938,1911.30562041309
207,Timber Creek Greenbelt,City of Lewisville,,Lewisville,Local Park,Existing,City of Lewisville,2017,1166204.64355469,5454.9269794695
208,Cedardale Park and Complex,,,Lancaster,Local Park,Existing,City of Lancaster,2018,524184.987304688,3006.52415388464
209,Stanford Park,,,Lancaster,Local Park,Existing,City of Lancaster,2018,67034.7236328125,1031.73613678772
210,Verona Park,,,Lancaster,Local Park,Existing,City of Lancaster,2018,70045.2822265625,1102.84798591111
211,JA Dewberry Park,,,Lancaster,Local Park,Existing,City of Lancaster,2018,229790.181640625,1961.94080866095
212,Jaycee Park,,,Lancaster,Local Park,Existing,City of Lancaster,2018,319704.961914062,2656.36699881894
213,Meadowcreek Park,,,Lancaster,Local Park,Existing,City of Lancaster,2018,352451.297851562,4631.08628712181
214,Rocky Crest Park,,,Lancaster,Local Park,Existing,City of Lancaster,2018,157740.853515625,2232.99714478742
215,Heritage Park,,,Lancaster,Local Park,Existing,City of Lancaster,2018,25686.0771484375,644.807977126241
216,Community House Park,,,Lancaster,Local Park,Existing,City of Lancaster,2017,33361.18359375,730.65958914409
217,Kids Square Park,,,Lancaster,Local Park,Existing,City of Lancaster,2018,103436.396484375,1488.62027572531
218,Lancaster City Park,,,Lancaster,Local Park,Existing,PADUSA/ESRI USA Parks,2020,1301538.61035156,5249.39601121498
219,Lancaster Community Park,,,Lancaster,Local Park,Existing,City of Lancaster,2018,5075818.24121094,12764.309768201
220,Ten Mile Creek Preserve,,,Lancaster,Local Park,Existing,City of Lancaster,2018,3747453.56445312,9727.14194889949
221,Champions Park,Municipal,City Property,Irving,Local Park,Existing,City of Irving,2020,196937.392578125,3120.90979648704
222,Rodeo Park,Municipal,City Property,Irving,Local Park,Existing,City of Irving,2017,48246.26171875,994.137186676876
223,Cimarron Park,Municipal,City Property,Irving,Local Park,Existing,City of Irving,2017,526593.0859375,2997.72722404089
224,Mustang Park Recreation Center,Municipal,City Property,Irving,Local Park,Existing,City of Irving,2017,438351.546875,3129.99267886768
225,Dorris Park,Municipal,City Property,Irving,Local Park,Existing,City of Irving,2020,95376.4775390625,1312.96707783957
226,Nichols Park,Municipal,City Property,Irving,Local Park,Existing,City of Irving,2017,90134.8857421875,1212.36984423684
227,Jaycee Park,Municipal,City Property,Irving,Local Park,Existing,City of Irving,2017,223286.056640625,1947.98860307459
228,Sunrise Park,Municipal,City Property,Irving,Local Park,Existing,City of Irving,2017,377512.783203125,3367.10694227519
229,West Park,Municipal,City Property,Irving,Local Park,Existing,City of Irving,2017,753576.607421875,3630.88319187294
