OBJECTID,NAME,OWNER,NOTES,CITY,FEATTYPE,STATUS,SOURCE,SOURCE_YEAR,ShapeSTArea,ShapeSTLength
2453,Bush Central Barkway,City of Richardson,Dog Park,Richardson,Local Park,Existing,City of Richardson,2018,116443.87890625,1542.25873625518
2454,The Rec of Grapevine,City of Grapevine,City Park,Grapevine,Local Park,Existing,City of Grapevine,2020,373775.544921875,2723.12778250797
2455,Amphitheater,City of Lewisville,,Lewisville,Local Park,Existing,Denton County,2020,150433.53125,1520.62891606309
2456,Arrowhead Park,US Corps of Engineers,,Hickory Creek,Local Park,Existing,Denton County,2020,1988346.8046875,17518.6738632952
2457,Oakland Park,US Corps of Engineers,,Hickory Creek,Local Park,Existing,Denton County,2020,4105326.61132812,26126.8991113722
2458,Westlake Park,City of Hickory Creek,,Hickory Creek,Local Park,Existing,Denton County,2020,29286747.640625,79126.8781968496
2459,Willow Grove Park,US Corps of Engineers,,Lake Dallas,Local Park,Existing,Denton County,2020,15840955.4697266,94273.9568139098
2460,Big Sandy Access Boat Ramp,US Corps of Engineers,,Shady Shores,Local Park,Existing,Denton County,2020,12636848.9785156,44305.9991624851
2461,Beard Park,City of Little Elm,,Little Elm,Local Park,Existing,Denton County,2020,221577.103515625,4440.74504130909
2462,CH Collins Athletic Complex,Denton ISD,,Denton,Local Park,Existing,Denton County,2020,2707832.01269531,7315.68553342151
2463,City Open Space,Lakes of Trophy Club HOA,,Trophy Club,Local Park,Existing,Denton County,2020,597070.774414062,3173.11833525805
2464,City Park,City of Lake Dallas,,Lake Dallas,Local Park,Existing,Denton County,2020,773524.126953125,3532.58144332179
2465,Community Park,City of Lake Dallas,,Lake Dallas,Local Park,Existing,Denton County,2020,57483.2138671875,1013.60874197969
2466,Copperas Branch Park,City of Highland Village,,Highland Village,Local Park,Existing,Denton County/PADUSA,2020,2883664.77636719,19552.74377901
2467,Lewisville Lake Park,,,Lewisville,Local Park,Existing,ESRI USA Parks,2020,1915036.23339844,14498.3652346279
